dataset,controller,headroom_bin,L_bin,mean_drift,mean_delta_sq,negative_drift_rate,negative_delta_sq_rate,benchmark_safe_rate,rows
smith,maxweight_backlog,"(0.03,0.08]",<=0.5,-0.22035065973356016,-0.026376647997684684,1.0,0.35714285714285715,0.22857142857142856,70
smith,maxweight_backlog,"(0.03,0.08]","(0.5,1]",-0.2739203120257688,-0.26286223312538326,1.0,1.0,0.4,5
smith,maxweight_backlog,"(0.08,0.15]",<=0.5,-0.259235613033773,-0.009114244302175258,1.0,0.216,0.232,125
smith,maxweight_backlog,"(0.08,0.15]","(0.5,1]",-0.23981309098849715,-0.2315398690019567,1.0,1.0,0.0,3
smith,maxweight_backlog,>0.15,<=0.5,-0.30219871817079785,-0.0044102966103182805,1.0,0.18604651162790697,0.43410852713178294,129
smith,minimal_verify,<=0,<=0.5,-0.008369811299717894,0.03862201224881431,0.6363636363636364,0.3333333333333333,0.06060606060606061,33
smith,minimal_verify,<=0,"(0.5,1]",0.25303280473537,0.5558565831998961,0.5,0.5,0.0,4
smith,minimal_verify,<=0,"(1,2]",0.24735744328635323,0.8110117136127828,0.0,0.0,0.0,6
smith,minimal_verify,<=0,"(2,4]",0.11419717035169426,0.7021276342310636,0.027777777777777776,0.027777777777777776,0.0,36
smith,minimal_verify,<=0,>4,0.27409975080624416,17.96710893166855,0.0,0.0,0.0,418
smith,minimal_verify,"(0.03,0.08]",<=0.5,-0.3741152847308364,0.0,1.0,0.0,0.0,1
smith,minimal_verify,"(0.08,0.15]",<=0.5,-0.4833204896783828,0.0,1.0,0.0,1.0,2
smith,oracle_src,<=0,<=0.5,0.1505126851980392,0.07787399656033452,0.2897196261682243,0.056074766355140186,0.06542056074766354,107
smith,oracle_src,<=0,"(0.5,1]",0.13124429279264382,0.19495498860672864,0.2,0.2,0.0,5
smith,oracle_src,"(0,0.03]",<=0.5,-0.12958408367214433,-0.01658806978593636,1.0,0.3333333333333333,0.3333333333333333,3
smith,oracle_src,"(0,0.03]","(0.5,1]",-0.1260515783897017,-0.1421065028017147,1.0,1.0,0.0,3
